,figcaption,date,title,time,localtion1,location2
60,,"Saturday, April 18, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
61,,"Sunday, April 19, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
62,,"Sunday, April 19, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
63,Close-up of a glass muller being used to combine the pigment carmine lake with linseed oil to make a red paint.,"Tuesday, April 21, 2020",Materials Lab Workshop: Investigating Color in Art,1:00pm - 4:00pm,32 Quincy Street,Cambridge
64,,"Saturday, April 25, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
65,,"Saturday, April 25, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
66,,"Sunday, April 26, 2020",Student Guide Tour,11:00am - 11:50am,32 Quincy Street,Cambridge
67,,"Sunday, April 26, 2020",Student Guide Tour,3:00pm - 3:50pm,32 Quincy Street,Cambridge
68,,"Friday, May 1, 2020",Art Study Center Seminar: Ancient Egypt Up Close,11:00am - 12:00pm,32 Quincy Street,Cambridge
69,Close-up of a glass muller being used to combine the pigment carmine lake with linseed oil to make a red paint.,"Tuesday, May 19, 2020",Materials Lab Workshop: Investigating Color in Art,1:00pm - 4:00pm,32 Quincy Street,Cambridge
70,Photo: Tim Correira.,"Wednesday, May 20, 2020",Circle of Friends Gallery Tour,5:30pm - 6:30pm,32 Quincy Street,Cambridge
71,,"Monday, May 25, 2020",Museums Closed,10:00am - 5:00pm,32 Quincy Street,Cambridge
72,Photo: Tim Correira.,"Wednesday, June 17, 2020",Circle of Friends Gallery Tour,9:00am - 10:00am,32 Quincy Street,Cambridge
